Source:,/home/markd/Documents/Solar/charger/charger.sch,,,,,,
Date:,Thu 29 Oct 2020 11:03:08 PM CDT,,,,,,
Tool:,Eeschema 5.1.5-1.fc30,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,100,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,,Datasheet
32,1,R5,698k,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-8ENF6983V/89543,~
33,1,R6,50k,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/yageo/RT1206BRD0750KL/5936960,~
34,4,"R12, R13, R15, R16",2.21,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW12062R21FKEA/1961802,~
35,2,"R14, R17",4.42,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW12064R42FKEA/1961838,~
36,1,R18,806k,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-8ENF8063V/89559,~
37,1,R19,200k,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/bourns-inc/CR1206-FX-2003ELF/2562848,~
38,2,"R20, R21",5.6 ohm,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW12065R60FKEA/1961850,~
39,1,R22,10k,Device:R_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW120610K0FKEA/1176758,~
40,1,R24,0.002,Device:R_US,Resistor_SMD:R_2512_6332Metric,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CSNL2512FT2L00/1646112,https://www.mouser.com/ProductDetail/Yageo/PU2512FKMP50R002L?qs=sGAEpiMZZMvdGkrng054t0c0U24Fa%2Fv2NfStLNxNcuIQTzdklHgYjw%3D%3D
41,1,R25,430k,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-8GEYJ434V/21334,~
42,1,R26,169k,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW1206169KFKEA/1176896,~
43,2,"R27, R28",0 ohm,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-8GEY0R00V/27495,~
44,1,R29,3k,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/vishay-dale/CRCW12063K00FKEA/1176696,~
46,1,R31,3,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2BTTD3R00F/10235879,~
47,1,U1,MSP432,MSP_mwd:MSP432,MWD_Footprints:MSP432,,
48,1,U2,NCP718xSN500,Regulator_Linear:NCP718xSN500,Package_TO_SOT_SMD:SOT-23-5,https://www.digikey.com/en/products/detail/on-semiconductor/NCP718ASN500T1G/9169770,https://www.onsemi.com/pub/Collateral/NCP718-D.PDF
49,1,U3,UCC27517DBVR,MSP_mwd:Generic_SOT23-5,Package_TO_SOT_SMD:SOT-23-5,https://www.digikey.com/en/products/detail/texas-instruments/UCC27517DBVR/3074526?s=N4IgTCBcDaIKoGEFgOwFYCMKAiAhAagEogC6AvkA,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fucc27517
50,2,"U4, U7",INA240A2PW,Amplifier_Current:INA240A2PW,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,https://www.digikey.com/en/products/detail/texas-instruments/INA240A2PWR/6562018,http://www.ti.com/lit/ds/symlink/ina240.pdf
51,2,"U5, U6",LM5109BMA,Driver_FET:LM5109BMA,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.com/en/products/detail/texas-instruments/LM5109BMA/3695266,http://www.ti.com/lit/ds/symlink/lm5109b.pdf
52,1,U8,LM5009MM,Regulator_Switching:LM5009MM,Package_SO:MSOP-8_3x3mm_P0.65mm,https://www.digikey.com/en/products/detail/texas-instruments/LM5009MM/3697383,http://www.ti.com/lit/ds/symlink/lm5009.pdf
53,1,U9,AP131-33,Regulator_Linear:AP131-33,Package_TO_SOT_SMD:SOT-23-5,https://www.mouser.com/ProductDetail/Diodes-Incorporated/AP131-33WG-7?qs=%2Fha2pyFadujFUqaC0QkiSov7dosyMiokL3ybOHsTu%252Bg%3D,http://www.diodes.com/_files/datasheets/AP131.pdf
54,2,"U10, U11",LM321,Amplifier_Operational:LM321,Package_TO_SOT_SMD:SOT-23-5,https://www.digikey.com/en/products/detail/texas-instruments/LM321MF/3701450,http://www.ti.com/lit/ds/symlink/lm321.pdf
,,,,,,,
,,,,,,https://www.digikey.com/en/products/detail/amphenol-icc-fci/67997-410HLF/1878475,
,,,,,,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC052LFBN-RC/810245,
